arduino_time_s,receive_time_s,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gx,imu1_gy,imu1_gz,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gx,imu2_gy,imu2_gz
0.0,1765055749.242751,0.553,-0.372,0.243,-30.05,-56.27,-49.32,-0.172,-0.25,0.039,-54.53,32.18,-31.21
0.016907,1765055749.24514,0.553,-0.372,0.243,-30.05,-56.28,-49.33,-0.172,-0.25,0.039,-54.53,32.18,-31.21
0.033905,1765055749.271927,0.553,-0.372,0.243,-30.05,-56.28,-49.33,-0.172,-0.25,0.039,-54.53,32.18,-31.22
0.050907,1765055749.273668,0.553,-0.372,0.243,-30.04,-56.29,-49.34,-0.172,-0.25,0.039,-54.53,32.18,-31.22
0.067908,1765055749.3019898,0.553,-0.372,0.243,-30.04,-56.3,-49.34,-0.172,-0.25,0.039,-54.53,32.17,-31.22
0.084905,1765055749.332407,0.553,-0.372,0.243,-30.04,-56.3,-49.35,-0.172,-0.25,0.039,-54.53,32.17,-31.23
0.101907,1765055749.333951,0.553,-0.372,0.243,-30.04,-56.31,-49.35,-0.172,-0.25,0.039,-54.53,32.17,-31.23
0.118955,1765055749.3629818,0.553,-0.372,0.243,-30.04,-56.31,-49.35,-0.172,-0.25,0.039,-54.53,32.17,-31.23
0.135907,1765055749.3637671,0.553,-0.372,0.243,-30.04,-56.32,-49.36,-0.172,-0.25,0.039,-54.53,32.16,-31.24
0.152905,1765055749.392303,0.553,-0.372,0.243,-30.03,-56.32,-49.36,-0.172,-0.25,0.039,-54.53,32.16,-31.24
0.169908,1765055749.393704,0.553,-0.372,0.243,-30.03,-56.33,-49.37,-0.172,-0.25,0.039,-54.53,32.16,-31.24
0.186905,1765055749.421188,0.553,-0.372,0.243,-30.03,-56.33,-49.37,-0.172,-0.25,0.039,-54.53,32.16,-31.25
0.203908,1765055749.4529788,0.553,-0.372,0.243,-30.03,-56.34,-49.38,-0.172,-0.25,0.039,-54.53,32.16,-31.25
0.220906,1765055749.455182,0.553,-0.372,0.243,-30.03,-56.34,-49.38,-0.172,-0.25,0.039,-54.53,32.15,-31.25
0.237906,1765055749.4828138,0.553,-0.372,0.243,-30.03,-56.35,-49.38,-0.172,-0.25,0.039,-54.53,32.15,-31.26
0.254904,1765055749.484225,0.553,-0.372,0.243,-30.02,-56.35,-49.39,-0.172,-0.25,0.039,-54.53,32.15,-31.26
0.271956,1765055749.512224,0.553,-0.372,0.243,-30.02,-56.36,-49.39,-0.172,-0.25,0.039,-54.53,32.15,-31.26
0.288906,1765055749.5132349,0.553,-0.372,0.243,-30.02,-56.36,-49.4,-0.172,-0.25,0.039,-54.53,32.15,-31.26
0.305906,1765055749.571326,0.553,-0.372,0.243,-30.02,-56.37,-49.4,-0.172,-0.25,0.039,-54.53,32.14,-31.27
0.322905,1765055749.5726311,0.553,-0.372,0.243,-30.02,-56.37,-49.41,-0.172,-0.25,0.039,-54.53,32.14,-31.27
0.339907,1765055749.574101,0.553,-0.372,0.243,-30.02,-56.38,-49.41,-0.172,-0.25,0.039,-54.53,32.14,-31.27
0.356907,1765055749.602169,0.553,-0.372,0.243,-30.02,-56.38,-49.41,-0.172,-0.25,0.039,-54.53,32.14,-31.28
0.373906,1765055749.603095,0.553,-0.372,0.243,-30.02,-56.38,-49.42,-0.172,-0.25,0.039,-54.53,32.14,-31.28
0.390956,1765055749.632278,0.553,-0.372,0.243,-30.01,-56.39,-49.42,-0.172,-0.25,0.039,-54.53,32.14,-31.28
0.407907,1765055749.633898,0.553,-0.372,0.243,-30.01,-56.39,-49.43,-0.172,-0.25,0.039,-54.53,32.13,-31.29
0.424907,1765055749.694238,0.553,-0.372,0.243,-30.01,-56.4,-49.43,-0.172,-0.25,0.039,-54.53,32.13,-31.29
0.441905,1765055749.6950772,0.553,-0.372,0.243,-30.01,-56.4,-49.44,-0.172,-0.25,0.039,-54.53,32.13,-31.29
0.458906,1765055749.721646,0.553,-0.372,0.243,-30.01,-56.4,-49.44,-0.172,-0.25,0.039,-54.53,32.13,-31.3
0.475905,1765055749.723684,0.553,-0.372,0.243,-30.01,-56.41,-49.44,-0.172,-0.25,0.039,-54.53,32.13,-31.3
0.492905,1765055749.725088,0.553,-0.372,0.243,-30.01,-56.41,-49.45,-0.172,-0.25,0.039,-54.53,32.13,-31.3
0.509955,1765055749.752696,0.553,-0.372,0.243,-30.01,-56.41,-49.45,-0.172,-0.25,0.039,-54.53,32.12,-31.31
0.526904,1765055749.782172,0.553,-0.372,0.243,-30.0,-56.42,-49.46,-0.172,-0.25,0.039,-54.53,32.12,-31.31
0.543906,1765055749.782449,0.553,-0.372,0.243,-30.0,-56.42,-49.46,-0.172,-0.25,0.039,-54.53,32.12,-31.31
0.560906,1765055749.81165,0.553,-0.372,0.243,-30.0,-56.42,-49.47,-0.172,-0.25,0.039,-54.53,32.12,-31.32
0.577905,1765055749.8129432,0.553,-0.372,0.243,-30.0,-56.43,-49.47,-0.172,-0.25,0.039,-54.53,32.12,-31.32
0.594906,1765055749.843078,0.553,-0.372,0.243,-30.0,-56.43,-49.47,-0.172,-0.25,0.039,-54.53,32.12,-31.32
0.611905,1765055749.8703701,0.553,-0.372,0.243,-30.0,-56.43,-49.48,-0.172,-0.25,0.039,-54.53,32.12,-31.33
0.628958,1765055749.871982,0.553,-0.372,0.243,-30.0,-56.44,-49.48,-0.172,-0.25,0.039,-54.53,32.12,-31.33
0.645908,1765055749.901629,0.553,-0.372,0.243,-30.0,-56.44,-49.49,-0.172,-0.25,0.039,-54.53,32.11,-31.33
0.662908,1765055749.903811,0.553,-0.372,0.243,-30.0,-56.44,-49.49,-0.172,-0.25,0.039,-54.53,32.11,-31.34
0.679906,1765055749.905163,0.553,-0.372,0.243,-30.0,-56.45,-49.5,-0.172,-0.25,0.039,-54.53,32.11,-31.34
0.696908,1765055749.9312289,0.553,-0.372,0.243,-29.99,-56.45,-49.5,-0.172,-0.25,0.039,-54.53,32.11,-31.34
0.713906,1765055749.9622898,0.553,-0.372,0.243,-29.99,-56.45,-49.5,-0.172,-0.25,0.039,-54.53,32.11,-31.34
0.730904,1765055749.963385,0.553,-0.372,0.243,-29.99,-56.45,-49.51,-0.172,-0.25,0.039,-54.53,32.11,-31.35
0.747904,1765055749.993121,0.553,-0.372,0.243,-29.99,-56.46,-49.51,-0.172,-0.25,0.039,-54.53,32.11,-31.35
0.764905,1765055749.995146,0.553,-0.372,0.243,-29.99,-56.46,-49.52,-0.172,-0.25,0.039,-54.53,32.11,-31.35
0.781955,1765055750.024419,0.553,-0.372,0.243,-29.99,-56.46,-49.52,-0.172,-0.25,0.039,-54.53,32.11,-31.36
0.798905,1765055750.0247612,0.553,-0.372,0.243,-29.99,-56.46,-49.53,-0.172,-0.25,0.039,-54.53,32.1,-31.36
0.815906,1765055750.052406,0.553,-0.372,0.243,-29.99,-56.47,-49.53,-0.172,-0.25,0.039,-54.53,32.1,-31.36
0.832905,1765055750.053898,0.553,-0.372,0.243,-29.99,-56.47,-49.53,-0.172,-0.25,0.039,-54.53,32.1,-31.37
0.849906,1765055750.0816262,0.553,-0.372,0.243,-29.99,-56.47,-49.54,-0.172,-0.25,0.039,-54.53,32.1,-31.37
0.866908,1765055750.1123672,0.553,-0.372,0.243,-29.99,-56.47,-49.54,-0.172,-0.25,0.039,-54.52,32.1,-31.37
0.883907,1765055750.113419,0.553,-0.372,0.243,-29.99,-56.48,-49.55,-0.172,-0.25,0.039,-54.52,32.1,-31.38
0.900906,1765055750.142606,0.553,-0.372,0.243,-29.99,-56.48,-49.55,-0.172,-0.25,0.039,-54.52,32.1,-31.38
0.917908,1765055750.144973,0.553,-0.372,0.243,-29.98,-56.48,-49.56,-0.172,-0.25,0.039,-54.52,32.1,-31.38
0.934908,1765055750.174009,0.553,-0.372,0.243,-29.98,-56.48,-49.56,-0.172,-0.25,0.039,-54.52,32.1,-31.39
0.951908,1765055750.174301,0.553,-0.372,0.243,-29.98,-56.48,-49.56,-0.172,-0.25,0.039,-54.52,32.1,-31.39
0.968904,1765055750.202057,0.553,-0.372,0.243,-29.98,-56.49,-49.57,-0.172,-0.25,0.039,-54.52,32.1,-31.39
0.985905,1765055750.2343612,0.553,-0.372,0.243,-29.98,-56.49,-49.57,-0.172,-0.25,0.039,-54.52,32.09,-31.4
1.002905,1765055750.2346811,0.553,-0.372,0.243,-29.98,-56.49,-49.58,-0.172,-0.25,0.039,-54.52,32.09,-31.4
1.019906,1765055750.262559,0.553,-0.372,0.243,-29.98,-56.49,-49.58,-0.172,-0.25,0.039,-54.52,32.09,-31.4
1.036905,1765055750.263477,0.553,-0.372,0.243,-29.98,-56.49,-49.59,-0.172,-0.25,0.039,-54.52,32.09,-31.41
1.053908,1765055750.319735,0.553,-0.372,0.243,-29.98,-56.5,-49.59,-0.172,-0.25,0.039,-54.52,32.09,-31.41
1.070905,1765055750.3226829,0.553,-0.372,0.243,-29.98,-56.5,-49.59,-0.172,-0.25,0.039,-54.52,32.09,-31.41
1.087904,1765055750.3268108,0.553,-0.372,0.243,-29.98,-56.5,-49.6,-0.172,-0.25,0.039,-54.52,32.09,-31.42
1.104907,1765055750.351208,0.553,-0.372,0.243,-29.98,-56.5,-49.6,-0.172,-0.25,0.039,-54.52,32.09,-31.42
1.121905,1765055750.353226,0.553,-0.372,0.243,-29.98,-56.5,-49.61,-0.172,-0.25,0.039,-54.52,32.09,-31.42
1.138906,1765055750.384598,0.553,-0.372,0.243,-29.98,-56.5,-49.61,-0.172,-0.25,0.039,-54.52,32.09,-31.42
1.155905,1765055750.3847098,0.553,-0.372,0.243,-29.98,-56.51,-49.62,-0.172,-0.25,0.039,-54.52,32.09,-31.43
1.172907,1765055750.412266,0.553,-0.372,0.243,-29.98,-56.51,-49.62,-0.172,-0.25,0.039,-54.52,32.09,-31.43
1.189906,1765055750.414727,0.553,-0.372,0.243,-29.98,-56.51,-49.62,-0.172,-0.25,0.039,-54.52,32.09,-31.43
1.206906,1765055750.4413052,0.553,-0.372,0.243,-29.98,-56.51,-49.63,-0.172,-0.25,0.039,-54.52,32.09,-31.44
1.223907,1765055750.472567,0.553,-0.372,0.243,-29.97,-56.51,-49.63,-0.172,-0.25,0.039,-54.52,32.08,-31.44
1.240907,1765055750.4738219,0.553,-0.372,0.243,-29.97,-56.51,-49.64,-0.172,-0.25,0.039,-54.52,32.08,-31.44
1.257907,1765055750.50278,0.553,-0.372,0.243,-29.97,-56.52,-49.64,-0.172,-0.25,0.039,-54.52,32.08,-31.45
1.274906,1765055750.5049899,0.553,-0.372,0.243,-29.97,-56.52,-49.65,-0.172,-0.25,0.039,-54.52,32.08,-31.45
1.291956,1765055750.5339992,0.553,-0.372,0.243,-29.97,-56.52,-49.65,-0.172,-0.25,0.039,-54.52,32.08,-31.45
1.308906,1765055750.5341818,0.553,-0.372,0.243,-29.97,-56.52,-49.65,-0.172,-0.25,0.039,-54.52,32.08,-31.46
1.325908,1765055750.5621061,0.553,-0.372,0.243,-29.97,-56.52,-49.66,-0.172,-0.25,0.039,-54.52,32.08,-31.46
1.342907,1765055750.5634508,0.553,-0.372,0.243,-29.97,-56.52,-49.66,-0.172,-0.25,0.039,-54.52,32.08,-31.46
1.359908,1765055750.5913768,0.553,-0.372,0.243,-29.97,-56.52,-49.67,-0.172,-0.25,0.039,-54.52,32.08,-31.47
1.376907,1765055750.62214,0.553,-0.372,0.243,-29.97,-56.52,-49.67,-0.172,-0.25,0.039,-54.52,32.08,-31.47
1.393904,1765055750.623441,0.553,-0.372,0.243,-29.97,-56.53,-49.68,-0.172,-0.25,0.039,-54.52,32.08,-31.47
1.410907,1765055750.6529841,0.553,-0.372,0.243,-29.97,-56.53,-49.68,-0.172,-0.25,0.039,-54.52,32.08,-31.48
1.427908,1765055750.6553411,0.553,-0.372,0.243,-29.97,-56.53,-49.68,-0.172,-0.25,0.039,-54.52,32.08,-31.48
1.444906,1765055750.684305,0.553,-0.372,0.243,-29.97,-56.53,-49.69,-0.172,-0.25,0.039,-54.52,32.08,-31.48
1.461908,1765055750.6843991,0.553,-0.372,0.243,-29.97,-56.53,-49.69,-0.172,-0.25,0.039,-54.52,32.08,-31.49
1.478907,1765055750.712107,0.553,-0.372,0.243,-29.97,-56.53,-49.7,-0.172,-0.25,0.039,-54.52,32.08,-31.49
1.495906,1765055750.744241,0.553,-0.372,0.243,-29.97,-56.53,-49.7,-0.172,-0.25,0.039,-54.52,32.08,-31.49
1.512907,1765055750.7444491,0.553,-0.372,0.243,-29.97,-56.53,-49.71,-0.172,-0.25,0.039,-54.52,32.08,-31.49
1.529905,1765055750.771957,0.553,-0.372,0.243,-29.97,-56.53,-49.71,-0.172,-0.25,0.039,-54.52,32.08,-31.5
1.546905,1765055750.773432,0.553,-0.372,0.243,-29.97,-56.54,-49.71,-0.172,-0.25,0.039,-54.52,32.07,-31.5
1.563906,1765055750.802258,0.553,-0.372,0.243,-29.97,-56.54,-49.72,-0.172,-0.25,0.039,-54.52,32.07,-31.5
1.580905,1765055750.804409,0.553,-0.372,0.243,-29.97,-56.54,-49.72,-0.172,-0.25,0.039,-54.52,32.07,-31.51
1.597904,1765055750.831685,0.553,-0.372,0.243,-29.97,-56.54,-49.73,-0.172,-0.25,0.039,-54.52,32.07,-31.51
1.614904,1765055750.865209,0.553,-0.372,0.243,-29.97,-56.54,-49.73,-0.172,-0.25,0.039,-54.52,32.07,-31.51
1.631906,1765055750.89114,0.553,-0.372,0.243,-29.97,-56.54,-49.74,-0.172,-0.25,0.039,-54.52,32.07,-31.52
