arduino_time_s,receive_time_s,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gx,imu1_gy,imu1_gz,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gx,imu2_gy,imu2_gz
0.0,1765055843.65516,0.553,-0.372,0.243,-30.05,-56.27,-73.14,-0.172,-0.25,0.039,-54.53,32.18,-48.95
0.016997,1765055843.656131,0.553,-0.372,0.243,-30.05,-56.28,-73.15,-0.172,-0.25,0.039,-54.53,32.18,-48.95
0.033998,1765055843.6843991,0.553,-0.372,0.243,-30.05,-56.28,-73.15,-0.172,-0.25,0.039,-54.53,32.18,-48.96
0.050999,1765055843.68752,0.553,-0.372,0.243,-30.04,-56.29,-73.15,-0.172,-0.25,0.039,-54.53,32.18,-48.96
0.067999,1765055843.714208,0.553,-0.372,0.243,-30.04,-56.3,-73.16,-0.172,-0.25,0.039,-54.53,32.17,-48.96
0.085,1765055843.744684,0.553,-0.372,0.243,-30.04,-56.3,-73.16,-0.172,-0.25,0.039,-54.53,32.17,-48.97
0.101998,1765055843.7457669,0.553,-0.372,0.243,-30.04,-56.31,-73.17,-0.172,-0.25,0.039,-54.53,32.17,-48.97
0.118998,1765055843.77392,0.553,-0.372,0.243,-30.04,-56.31,-73.17,-0.172,-0.25,0.039,-54.53,32.17,-48.97
0.135999,1765055843.7762969,0.553,-0.372,0.243,-30.04,-56.32,-73.18,-0.172,-0.25,0.039,-54.53,32.16,-48.98
0.152999,1765055843.805263,0.553,-0.372,0.243,-30.03,-56.32,-73.18,-0.172,-0.25,0.039,-54.53,32.16,-48.98
0.169998,1765055843.8060422,0.553,-0.372,0.243,-30.03,-56.33,-73.18,-0.172,-0.25,0.039,-54.53,32.16,-48.98
0.186998,1765055843.8344939,0.553,-0.372,0.243,-30.03,-56.33,-73.19,-0.172,-0.25,0.039,-54.53,32.16,-48.99
0.203999,1765055843.893486,0.553,-0.372,0.243,-30.03,-56.34,-73.19,-0.172,-0.25,0.039,-54.53,32.16,-48.99
0.220997,1765055843.894349,0.553,-0.372,0.243,-30.03,-56.34,-73.2,-0.172,-0.25,0.039,-54.53,32.15,-48.99
0.238052,1765055843.922884,0.553,-0.372,0.243,-30.03,-56.35,-73.2,-0.172,-0.25,0.039,-54.53,32.15,-49.0
0.255001,1765055843.926027,0.553,-0.372,0.243,-30.02,-56.35,-73.21,-0.172,-0.25,0.039,-54.53,32.15,-49.0
0.271998,1765055843.952458,0.553,-0.372,0.243,-30.02,-56.36,-73.21,-0.172,-0.25,0.039,-54.53,32.15,-49.0
0.289,1765055843.954807,0.553,-0.372,0.243,-30.02,-56.36,-73.21,-0.172,-0.25,0.039,-54.53,32.15,-49.0
0.305997,1765055843.9580631,0.553,-0.372,0.243,-30.02,-56.37,-73.22,-0.172,-0.25,0.039,-54.53,32.14,-49.01
0.323,1765055843.9832242,0.553,-0.372,0.243,-30.02,-56.37,-73.22,-0.172,-0.25,0.039,-54.53,32.14,-49.01
0.339999,1765055843.985168,0.553,-0.372,0.243,-30.02,-56.38,-73.23,-0.172,-0.25,0.039,-54.53,32.14,-49.01
0.356997,1765055844.014955,0.553,-0.372,0.243,-30.02,-56.38,-73.23,-0.172,-0.25,0.039,-54.53,32.14,-49.02
0.373998,1765055844.0158029,0.553,-0.372,0.243,-30.02,-56.38,-73.24,-0.172,-0.25,0.039,-54.53,32.14,-49.02
0.391051,1765055844.0445561,0.553,-0.372,0.243,-30.01,-56.39,-73.24,-0.172,-0.25,0.039,-54.53,32.14,-49.02
0.408,1765055844.045542,0.553,-0.372,0.243,-30.01,-56.39,-73.24,-0.172,-0.25,0.039,-54.53,32.13,-49.03
0.425,1765055844.0750332,0.553,-0.372,0.243,-30.01,-56.4,-73.25,-0.172,-0.25,0.039,-54.53,32.13,-49.03
0.441997,1765055844.077593,0.553,-0.372,0.243,-30.01,-56.4,-73.25,-0.172,-0.25,0.039,-54.53,32.13,-49.03
0.458998,1765055844.134395,0.553,-0.372,0.243,-30.01,-56.4,-73.26,-0.172,-0.25,0.039,-54.53,32.13,-49.04
0.475999,1765055844.134721,0.553,-0.372,0.243,-30.01,-56.41,-73.26,-0.172,-0.25,0.039,-54.53,32.13,-49.04
0.493001,1765055844.137621,0.553,-0.372,0.243,-30.01,-56.41,-73.27,-0.172,-0.25,0.039,-54.53,32.13,-49.04
0.51005,1765055844.197113,0.553,-0.372,0.243,-30.01,-56.41,-73.27,-0.172,-0.25,0.039,-54.53,32.12,-49.05
0.526999,1765055844.19741,0.553,-0.372,0.243,-30.0,-56.42,-73.27,-0.172,-0.25,0.039,-54.53,32.12,-49.05
0.543999,1765055844.224274,0.553,-0.372,0.243,-30.0,-56.42,-73.28,-0.172,-0.25,0.039,-54.53,32.12,-49.05
0.561,1765055844.2262359,0.553,-0.372,0.243,-30.0,-56.42,-73.28,-0.172,-0.25,0.039,-54.53,32.12,-49.06
0.578,1765055844.227243,0.553,-0.372,0.243,-30.0,-56.43,-73.29,-0.172,-0.25,0.039,-54.53,32.12,-49.06
0.594997,1765055844.283983,0.553,-0.372,0.243,-30.0,-56.43,-73.29,-0.172,-0.25,0.039,-54.53,32.12,-49.06
0.611999,1765055844.2867,0.553,-0.372,0.243,-30.0,-56.43,-73.3,-0.172,-0.25,0.039,-54.53,32.12,-49.07
0.628998,1765055844.286913,0.553,-0.372,0.243,-30.0,-56.44,-73.3,-0.172,-0.25,0.039,-54.53,32.12,-49.07
0.646,1765055844.314687,0.553,-0.372,0.243,-30.0,-56.44,-73.3,-0.172,-0.25,0.039,-54.53,32.11,-49.07
0.663051,1765055844.315978,0.553,-0.372,0.243,-30.0,-56.44,-73.31,-0.172,-0.25,0.039,-54.53,32.11,-49.08
0.679997,1765055844.3441222,0.553,-0.372,0.243,-30.0,-56.45,-73.31,-0.172,-0.25,0.039,-54.53,32.11,-49.08
0.697001,1765055844.344438,0.553,-0.372,0.243,-29.99,-56.45,-73.32,-0.172,-0.25,0.039,-54.53,32.11,-49.08
0.713997,1765055844.403604,0.553,-0.372,0.243,-29.99,-56.45,-73.32,-0.172,-0.25,0.039,-54.53,32.11,-49.08
0.730999,1765055844.4048388,0.553,-0.372,0.243,-29.99,-56.45,-73.33,-0.172,-0.25,0.039,-54.53,32.11,-49.09
0.748052,1765055844.40712,0.553,-0.372,0.243,-29.99,-56.46,-73.33,-0.172,-0.25,0.039,-54.53,32.11,-49.09
0.765001,1765055844.433481,0.553,-0.372,0.243,-29.99,-56.46,-73.33,-0.172,-0.25,0.039,-54.53,32.11,-49.09
