arduino_time_s,receive_time_s,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gx,imu1_gy,imu1_gz,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gx,imu2_gy,imu2_gz
0.0,1765055659.9011042,0.553,-0.372,0.243,-30.05,-56.27,-26.79,-0.172,-0.25,0.039,-54.53,32.18,-14.42
0.017059,1765055659.959775,0.553,-0.372,0.243,-30.05,-56.28,-26.79,-0.172,-0.25,0.039,-54.53,32.18,-14.42
0.034,1765055659.961952,0.553,-0.372,0.243,-30.05,-56.28,-26.8,-0.172,-0.25,0.039,-54.53,32.18,-14.42
0.051003,1765055659.963028,0.553,-0.372,0.243,-30.04,-56.29,-26.8,-0.172,-0.25,0.039,-54.53,32.18,-14.43
0.068002,1765055659.989766,0.553,-0.372,0.243,-30.04,-56.3,-26.81,-0.172,-0.25,0.039,-54.53,32.17,-14.43
0.085,1765055659.9922502,0.553,-0.372,0.243,-30.04,-56.3,-26.81,-0.172,-0.25,0.039,-54.53,32.17,-14.43
0.102002,1765055660.0185988,0.553,-0.372,0.243,-30.04,-56.31,-26.82,-0.172,-0.25,0.039,-54.53,32.17,-14.44
0.119,1765055660.0202072,0.553,-0.372,0.243,-30.04,-56.31,-26.82,-0.172,-0.25,0.039,-54.53,32.17,-14.44
0.136002,1765055660.050698,0.553,-0.372,0.243,-30.04,-56.32,-26.82,-0.172,-0.25,0.039,-54.53,32.16,-14.44
0.153001,1765055660.0536,0.553,-0.372,0.243,-30.03,-56.32,-26.83,-0.172,-0.25,0.039,-54.53,32.16,-14.45
0.170061,1765055660.110114,0.553,-0.372,0.243,-30.03,-56.33,-26.83,-0.172,-0.25,0.039,-54.53,32.16,-14.45
0.187002,1765055660.1123142,0.553,-0.372,0.243,-30.03,-56.33,-26.84,-0.172,-0.25,0.039,-54.53,32.16,-14.45
0.204001,1765055660.114212,0.553,-0.372,0.243,-30.03,-56.34,-26.84,-0.172,-0.25,0.039,-54.53,32.16,-14.45
0.221004,1765055660.140783,0.553,-0.372,0.243,-30.03,-56.34,-26.85,-0.172,-0.25,0.039,-54.53,32.15,-14.46
0.238004,1765055660.1416728,0.553,-0.372,0.243,-30.03,-56.35,-26.85,-0.172,-0.25,0.039,-54.53,32.15,-14.46
0.255002,1765055660.170918,0.553,-0.372,0.243,-30.02,-56.35,-26.85,-0.172,-0.25,0.039,-54.53,32.15,-14.46
0.272001,1765055660.1722581,0.553,-0.372,0.243,-30.02,-56.36,-26.86,-0.172,-0.25,0.039,-54.53,32.15,-14.47
0.289004,1765055660.200756,0.553,-0.372,0.243,-30.02,-56.36,-26.86,-0.172,-0.25,0.039,-54.53,32.15,-14.47
0.306001,1765055660.20337,0.553,-0.372,0.243,-30.02,-56.37,-26.87,-0.172,-0.25,0.039,-54.53,32.14,-14.47
0.323001,1765055660.231522,0.553,-0.372,0.243,-30.02,-56.37,-26.87,-0.172,-0.25,0.039,-54.53,32.14,-14.48
0.340003,1765055660.26017,0.553,-0.372,0.243,-30.02,-56.38,-26.88,-0.172,-0.25,0.039,-54.53,32.14,-14.48
0.357002,1765055660.260766,0.553,-0.372,0.243,-30.02,-56.38,-26.88,-0.172,-0.25,0.039,-54.53,32.14,-14.48
