time_s,rel_rate_x,rel_rate_y,rel_rate_z,rel_rate_dominant,rel_rate_magnitude,rel_angle_x,rel_angle_y,rel_angle_z,rel_angle_dominant,rel_angle_magnitude
0.0,0.0,0.5915,0.5915,0.5915,0.8365,0.015,-0.0328,-0.0128,-0.0128,0.0382
0.016907,0.0,0.5915,0.5915,0.5915,0.8365,0.015,-0.0228,-0.0028,-0.0028,0.0274
0.033905,0.0,0.0,-0.5883,-0.5883,0.5883,0.015,-0.0228,-0.0128,-0.0128,0.0301
0.050907,-0.5882,0.5882,0.5882,0.5882,1.0187,0.005,-0.0128,-0.0028,-0.0028,0.014
0.067908,0.0,0.0,0.0,0.0,0.0,0.005,-0.0128,-0.0028,-0.0028,0.014
0.084905,0.0,0.0,-0.0,-0.0,0.0,0.005,-0.0128,-0.0028,-0.0028,0.014
0.101907,0.0,0.5882,0.0,0.0,0.5882,0.005,-0.0028,-0.0028,-0.0028,0.0064
0.118955,0.0,0.0,0.0,0.0,0.0,0.005,-0.0028,-0.0028,-0.0028,0.0064
0.135907,0.0,-0.0,0.0,0.0,0.0,0.005,-0.0028,-0.0028,-0.0028,0.0064
0.152905,-0.5883,0.0,0.0,0.0,0.5883,-0.005,-0.0028,-0.0028,-0.0028,0.0064
0.169908,0.0,0.5881,0.5881,0.5881,0.8317,-0.005,0.0072,0.0072,0.0072,0.0114
0.186905,0.0,0.0,-0.5883,-0.5883,0.5883,-0.005,0.0072,-0.0028,-0.0028,0.0092
0.203908,0.0,0.5881,0.5881,0.5881,0.8317,-0.005,0.0172,0.0072,0.0072,0.0193
0.220906,0.0,-0.5883,0.0,0.0,0.5883,-0.005,0.0072,0.0072,0.0072,0.0114
0.237906,0.0,0.5882,-0.5882,-0.5882,0.8319,-0.005,0.0172,-0.0028,-0.0028,0.0181
0.254904,-0.5883,0.0,0.5883,0.5883,0.832,-0.015,0.0172,0.0072,0.0072,0.024
0.271956,0.0,0.5864,0.0,0.0,0.5864,-0.015,0.0272,0.0072,0.0072,0.0319
0.288906,0.0,0.0,0.59,0.59,0.59,-0.015,0.0272,0.0172,0.0172,0.0355
0.305906,0.0,0.0,-0.5882,-0.5882,0.5882,-0.015,0.0272,0.0072,0.0072,0.0319
0.322905,0.0,0.0,0.5883,0.5883,0.5883,-0.015,0.0272,0.0172,0.0172,0.0355
0.339907,0.0,0.5882,0.0,0.0,0.5882,-0.015,0.0372,0.0172,0.0172,0.0437
0.356907,0.0,0.0,-0.5882,-0.5882,0.5882,-0.015,0.0372,0.0072,0.0072,0.0408
0.373906,0.0,0.0,0.5883,0.5883,0.5883,-0.015,0.0372,0.0172,0.0172,0.0437
0.390956,-0.5865,0.5865,0.0,0.0,0.8295,-0.025,0.0472,0.0172,0.0172,0.0561
0.407907,0.0,-0.5899,0.0,0.0,0.5899,-0.025,0.0372,0.0172,0.0172,0.048
0.424907,0.0,0.5882,0.0,0.0,0.5882,-0.025,0.0472,0.0172,0.0172,0.0561
0.441905,0.0,0.0,0.5883,0.5883,0.5883,-0.025,0.0472,0.0272,0.0272,0.06
0.458906,0.0,0.0,-0.5882,-0.5882,0.5882,-0.025,0.0472,0.0172,0.0172,0.0561
0.475905,0.0,0.5883,0.0,0.0,0.5883,-0.025,0.0572,0.0172,0.0172,0.0648
0.492905,0.0,0.0,0.5882,0.5882,0.5882,-0.025,0.0572,0.0272,0.0272,0.0681
0.509955,0.0,-0.5865,-0.5865,-0.5865,0.8295,-0.025,0.0472,0.0172,0.0172,0.0561
0.526904,-0.59,0.59,0.59,0.59,1.0219,-0.035,0.0572,0.0272,0.0272,0.0724
0.543906,0.0,0.0,0.0,0.0,0.0,-0.035,0.0572,0.0272,0.0272,0.0724
0.560906,0.0,0.0,-0.0,-0.0,0.0,-0.035,0.0572,0.0272,0.0272,0.0724
0.577905,0.0,0.5883,0.0,0.0,0.5883,-0.035,0.0672,0.0272,0.0272,0.0805
0.594906,0.0,0.0,0.0,0.0,0.0,-0.035,0.0672,0.0272,0.0272,0.0805
0.611905,0.0,0.0,0.0,0.0,0.0,-0.035,0.0672,0.0272,0.0272,0.0805
0.628958,0.0,0.5864,0.0,0.0,0.5864,-0.035,0.0772,0.0272,0.0272,0.089
0.645908,0.0,-0.59,0.59,0.59,0.8343,-0.035,0.0672,0.0372,0.0372,0.0844
0.662908,0.0,0.0,-0.5882,-0.5882,0.5882,-0.035,0.0672,0.0272,0.0272,0.0805
0.679906,0.0,0.5883,0.5883,0.5883,0.832,-0.035,0.0772,0.0372,0.0372,0.0926
0.696908,-0.5882,0.0,0.0,0.0,0.5882,-0.045,0.0772,0.0372,0.0372,0.0968
