time_s,rel_rate_x,rel_rate_y,rel_rate_z,rel_rate_dominant,rel_rate_magnitude,rel_angle_x,rel_angle_y,rel_angle_z,rel_angle_dominant,rel_angle_magnitude
0.0,0.0,0.5883,0.5883,0.5883,0.832,0.015,-0.0328,-0.01,-0.01,0.0374
0.016997,0.0,0.5883,0.5883,0.5883,0.832,0.015,-0.0228,0.0,0.0,0.0273
0.033998,0.0,0.0,-0.5882,-0.5882,0.5882,0.015,-0.0228,-0.01,-0.01,0.029
0.050999,-0.5882,0.5882,0.0,0.0,0.8318,0.005,-0.0128,-0.01,-0.01,0.017
0.067999,0.0,0.0,0.5882,0.5882,0.5882,0.005,-0.0128,-0.0,-0.0,0.0137
0.085,0.0,0.0,-0.5882,-0.5882,0.5882,0.005,-0.0128,-0.01,-0.01,0.017
0.101998,0.0,0.5883,0.5883,0.5883,0.832,0.005,-0.0028,0.0,0.0,0.0057
0.118998,0.0,0.0,0.0,0.0,0.0,0.005,-0.0028,0.0,0.0,0.0057
0.135999,0.0,-0.0,0.0,0.0,0.0,0.005,-0.0028,0.0,0.0,0.0057
0.152999,-0.5882,0.0,0.0,0.0,0.5882,-0.005,-0.0028,0.0,0.0,0.0057
0.169998,0.0,0.5883,0.0,0.0,0.5883,-0.005,0.0072,0.0,0.0,0.0088
0.186998,0.0,0.0,-0.0,-0.0,0.0,-0.005,0.0072,-0.0,-0.0,0.0088
0.203999,0.0,0.5882,0.0,0.0,0.5882,-0.005,0.0172,-0.0,-0.0,0.0179
0.220997,0.0,-0.5883,0.5883,0.5883,0.832,-0.005,0.0072,0.01,0.01,0.0133
0.238052,0.0,0.5863,-0.5863,-0.5863,0.8292,-0.005,0.0172,0.0,0.0,0.0179
0.255001,-0.59,0.0,0.59,0.59,0.8344,-0.015,0.0172,0.01,0.01,0.0249
0.271998,0.0,0.5883,0.0,0.0,0.5883,-0.015,0.0272,0.01,0.01,0.0327
0.289,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.01,0.01,0.0327
0.305997,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.01,0.01,0.0327
0.323,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.01,0.01,0.0327
0.339999,0.0,0.5883,0.5883,0.5883,0.8319,-0.015,0.0372,0.02,0.02,0.0448
0.356997,0.0,0.0,-0.5883,-0.5883,0.5883,-0.015,0.0372,0.01,0.01,0.0414
0.373998,0.0,0.0,0.5882,0.5882,0.5882,-0.015,0.0372,0.02,0.02,0.0448
0.391051,-0.5864,0.5864,0.0,0.0,0.8293,-0.025,0.0472,0.02,0.02,0.0571
0.408,0.0,-0.59,-0.59,-0.59,0.8344,-0.025,0.0372,0.01,0.01,0.0459
0.425,0.0,0.5882,0.5882,0.5882,0.8319,-0.025,0.0472,0.02,0.02,0.0571
0.441997,0.0,0.0,0.0,0.0,0.0,-0.025,0.0472,0.02,0.02,0.0571
0.458998,0.0,0.0,0.0,0.0,0.0,-0.025,0.0472,0.02,0.02,0.0571
0.475999,0.0,0.5882,0.0,0.0,0.5882,-0.025,0.0572,0.02,0.02,0.0656
0.493001,0.0,0.0,0.5882,0.5882,0.5882,-0.025,0.0572,0.03,0.03,0.0693
0.51005,0.0,-0.5865,-0.5865,-0.5865,0.8295,-0.025,0.0472,0.02,0.02,0.0571
0.526999,-0.59,0.59,0.0,0.0,0.8344,-0.035,0.0572,0.02,0.02,0.07
0.543999,0.0,0.0,0.5882,0.5882,0.5882,-0.035,0.0572,0.03,0.03,0.0735
0.561,0.0,0.0,-0.5882,-0.5882,0.5882,-0.035,0.0572,0.02,0.02,0.07
0.578,0.0,0.5882,0.5882,0.5882,0.8319,-0.035,0.0672,0.03,0.03,0.0815
0.594997,0.0,0.0,0.0,0.0,0.0,-0.035,0.0672,0.03,0.03,0.0815
0.611999,0.0,0.0,-0.0,-0.0,0.0,-0.035,0.0672,0.03,0.03,0.0815
0.628998,0.0,0.5883,0.0,0.0,0.5883,-0.035,0.0772,0.03,0.03,0.0899
0.646,0.0,-0.5882,0.0,0.0,0.5882,-0.035,0.0672,0.03,0.03,0.0815
0.663051,0.0,0.0,0.0,0.0,0.0,-0.035,0.0672,0.03,0.03,0.0815
0.679997,0.0,0.5901,0.0,0.0,0.5901,-0.035,0.0772,0.03,0.03,0.0899
0.697001,-0.5881,0.0,0.5881,0.5881,0.8317,-0.045,0.0772,0.04,0.04,0.0979
0.713997,0.0,0.0,0.0,0.0,0.0,-0.045,0.0772,0.04,0.04,0.0979
0.730999,0.0,0.0,0.0,0.0,0.0,-0.045,0.0772,0.04,0.04,0.0979
0.748052,0.0,0.5864,0.0,0.0,0.5864,-0.045,0.0872,0.04,0.04,0.106
0.765001,0.0,0.0,0.0,0.0,0.0,-0.045,0.0872,0.04,0.04,0.106
0.782,0.0,0.0,0.0,0.0,0.0,-0.045,0.0872,0.04,0.04,0.106
0.799001,0.0,-0.5882,0.0,0.0,0.5882,-0.045,0.0772,0.04,0.04,0.0979
0.815998,0.0,0.5883,0.5883,0.5883,0.832,-0.045,0.0872,0.05,0.05,0.1101
0.833,0.0,0.0,-0.5882,-0.5882,0.5882,-0.045,0.0872,0.04,0.04,0.106
0.849998,0.0,0.0,0.5883,0.5883,0.5883,-0.045,0.0872,0.05,0.05,0.1101
0.866998,0.5882,0.0,0.0,0.0,0.5882,-0.035,0.0872,0.05,0.05,0.1065
0.884001,0.0,0.5881,-0.5881,-0.5881,0.8317,-0.035,0.0972,0.04,0.04,0.1108
0.901052,0.0,0.0,0.5865,0.5865,0.5865,-0.035,0.0972,0.05,0.05,0.1148
0.917997,-0.5901,0.0,0.0,0.0,0.5901,-0.045,0.0972,0.05,0.05,0.1182
0.935,0.0,0.0,-0.0,-0.0,0.0,-0.045,0.0972,0.05,0.05,0.1182
0.951997,0.0,0.0,0.0,0.0,0.0,-0.045,0.0972,0.05,0.05,0.1182
0.969001,0.0,0.5881,0.5881,0.5881,0.8317,-0.045,0.1072,0.06,0.06,0.1308
0.985998,0.0,-0.5883,-0.5883,-0.5883,0.832,-0.045,0.0972,0.05,0.05,0.1182
1.002997,0.0,0.0,0.0,0.0,0.0,-0.045,0.0972,0.05,0.05,0.1182
1.019999,0.0,0.0,0.5882,0.5882,0.5882,-0.045,0.0972,0.06,0.06,0.1228
1.036999,0.0,0.0,-0.5882,-0.5882,0.5882,-0.045,0.0972,0.05,0.05,0.1182
1.053999,0.0,0.5882,0.5882,0.5882,0.8319,-0.045,0.1072,0.06,0.06,0.1308
1.070997,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.06,0.06,0.1308
1.087998,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.06,0.06,0.1308
1.104998,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.06,0.06,0.1308
1.121998,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.06,0.06,0.1308
1.139,0.0,0.0,0.5882,0.5882,0.5882,-0.045,0.1072,0.07,0.07,0.1357
1.155997,0.0,0.5883,-0.5883,-0.5883,0.832,-0.045,0.1172,0.06,0.06,0.1392
1.172998,0.0,0.0,0.5882,0.5882,0.5882,-0.045,0.1172,0.07,0.07,0.1438
1.19,0.0,0.0,0.0,0.0,0.0,-0.045,0.1172,0.07,0.07,0.1438
1.207,0.0,0.0,0.0,0.0,0.0,-0.045,0.1172,0.07,0.07,0.1438
1.223997,-0.5883,-0.5883,0.0,0.0,0.832,-0.055,0.1072,0.07,0.07,0.1394
