time_s,rel_rate_x,rel_rate_y,rel_rate_z,rel_rate_dominant,rel_rate_magnitude,rel_angle_x,rel_angle_y,rel_angle_z,rel_angle_dominant,rel_angle_magnitude
0.0,-1.7647,0.0,0.0,-1.7647,1.7647,0.0053,0.0159,-0.0088,0.0053,0.0189
0.017,-1.7647,0.0,0.0,-1.7647,1.7647,-0.0247,0.0159,-0.0088,-0.0247,0.0307
0.035001,-1.6666,-0.5555,0.5555,-1.6666,1.8425,-0.0547,0.0059,0.0012,-0.0547,0.055
0.053001,0.5556,0.0,0.0,0.5556,0.5556,-0.0447,0.0059,0.0012,-0.0447,0.0451
0.071001,0.0,-1.1111,0.0,0.0,1.1111,-0.0447,-0.0141,0.0012,-0.0447,0.0469
0.089001,0.5556,-0.0,0.0,0.5556,0.5556,-0.0347,-0.0141,0.0012,-0.0347,0.0375
0.107001,1.6667,0.5556,0.0,1.6667,1.7568,-0.0047,-0.0041,0.0012,-0.0047,0.0064
0.125,0.5556,0.0,0.0,0.5556,0.5556,0.0053,-0.0041,0.0012,0.0053,0.0068
0.143001,0.5555,-0.0,0.0,0.5555,0.5555,0.0153,-0.0041,0.0012,0.0153,0.0159
0.161007,0.0,0.0,0.0,0.0,0.0,0.0153,-0.0041,0.0012,0.0153,0.0159
0.179,0.5558,0.5558,0.0,0.5558,0.786,0.0253,0.0059,0.0012,0.0253,0.026
0.196997,-0.5556,-0.0,0.0,-0.5556,0.5556,0.0153,0.0059,0.0012,0.0153,0.0164
0.215001,0.0,0.0,0.0,0.0,0.0,0.0153,0.0059,0.0012,0.0153,0.0164
0.233001,0.0,-0.5556,0.0,0.0,0.5556,0.0153,-0.0041,0.0012,0.0153,0.0159
0.251001,1.1111,0.0,0.0,1.1111,1.1111,0.0353,-0.0041,0.0012,0.0353,0.0356
0.267997,-0.5884,0.0,0.0,-0.5884,0.5884,0.0253,-0.0041,0.0012,0.0253,0.0257
0.285,0.5881,0.0,0.0,0.5881,0.5881,0.0353,-0.0041,0.0012,0.0353,0.0356
0.302,0.5882,0.0,0.0,0.5882,0.5882,0.0453,-0.0041,0.0012,0.0453,0.0455
0.319,0.5882,0.0,0.5882,0.5882,0.8319,0.0553,-0.0041,0.0112,0.0553,0.0566
0.336001,0.0,-0.0,0.0,0.0,0.0,0.0553,-0.0041,0.0112,0.0553,0.0566
0.354,0.0,0.0,-0.5556,0.0,0.5556,0.0553,-0.0041,0.0012,0.0553,0.0555
0.372,0.5556,0.0,0.0,0.5556,0.5556,0.0653,-0.0041,0.0012,0.0653,0.0654
0.39,0.0,0.0,0.5556,0.0,0.5556,0.0653,-0.0041,0.0112,0.0653,0.0664
0.408,0.0,-0.0,0.0,0.0,0.0,0.0653,-0.0041,0.0112,0.0653,0.0664
0.425001,-0.5882,-0.5882,0.0,-0.5882,0.8318,0.0553,-0.0141,0.0112,0.0553,0.0582
0.442001,-0.0,0.0,0.0,-0.0,0.0,0.0553,-0.0141,0.0112,0.0553,0.0582
0.459,0.5883,-0.5883,0.5883,0.5883,1.0189,0.0653,-0.0241,0.0212,0.0653,0.0728
0.476,-0.5882,0.0,-0.5882,-0.5882,0.8319,0.0553,-0.0241,0.0112,0.0553,0.0614
0.493997,0.0,0.5556,0.5556,0.0,0.7858,0.0553,-0.0141,0.0212,0.0553,0.0609
0.512,0.5555,0.0,0.0,0.5555,0.5555,0.0653,-0.0141,0.0212,0.0653,0.0701
0.529001,-0.0,0.0,0.0,-0.0,0.0,0.0653,-0.0141,0.0212,0.0653,0.0701
0.547,0.0,0.0,0.0,0.0,0.0,0.0653,-0.0141,0.0212,0.0653,0.0701
0.564,0.0,0.5882,0.5882,0.0,0.8319,0.0653,-0.0041,0.0312,0.0653,0.0725
0.581,0.0,0.0,0.0,0.0,0.0,0.0653,-0.0041,0.0312,0.0653,0.0725
0.597997,0.0,0.0,0.0,0.0,0.0,0.0653,-0.0041,0.0312,0.0653,0.0725
0.616,0.0,-0.0,0.0,0.0,0.0,0.0653,-0.0041,0.0312,0.0653,0.0725
0.634001,0.0,0.0,0.0,0.0,0.0,0.0653,-0.0041,0.0312,0.0653,0.0725
0.651999,0.0,0.0,0.0,0.0,0.0,0.0653,-0.0041,0.0312,0.0653,0.0725
0.669001,1.1763,0.0,0.0,1.1763,1.1763,0.0853,-0.0041,0.0312,0.0853,0.0909
0.687,-0.5556,0.5556,0.0,-0.5556,0.7857,0.0753,0.0059,0.0312,0.0753,0.0817
0.704001,0.5882,-0.5882,0.0,0.5882,0.8318,0.0853,-0.0041,0.0312,0.0853,0.0909
0.721,0.0,0.5883,0.0,0.0,0.5883,0.0853,0.0059,0.0312,0.0853,0.091
0.738002,0.0,0.0,0.0,0.0,0.0,0.0853,0.0059,0.0312,0.0853,0.091
0.756,0.0,0.0,0.0,0.0,0.0,0.0853,0.0059,0.0312,0.0853,0.091
0.774001,0.5555,0.0,0.5555,0.5555,0.7856,0.0953,0.0059,0.0412,0.0953,0.104
0.791,0.0,0.0,0.0,0.0,0.0,0.0953,0.0059,0.0412,0.0953,0.104
0.808,0.0,-0.5882,0.0,0.0,0.5882,0.0953,-0.0041,0.0412,0.0953,0.1039
0.825001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0041,0.0412,0.0953,0.1039
0.842,0.5883,0.0,0.0,0.5883,0.5883,0.1053,-0.0041,0.0412,0.1053,0.1131
0.860001,0.5555,0.0,0.0,0.5555,0.5555,0.1153,-0.0041,0.0412,0.1153,0.1225
0.878001,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0041,0.0412,0.1153,0.1225
0.895998,-0.5556,0.0,0.0,-0.5556,0.5556,0.1053,-0.0041,0.0412,0.1053,0.1131
0.913,0.0,0.0,0.0,0.0,0.0,0.1053,-0.0041,0.0412,0.1053,0.1131
0.931001,0.0,-0.5555,0.0,0.0,0.5555,0.1053,-0.0141,0.0412,0.1053,0.1139
0.948997,-0.5557,0.5557,0.0,-0.5557,0.7858,0.0953,-0.0041,0.0412,0.0953,0.1039
0.966001,0.5881,-0.5881,0.0,0.5881,0.8317,0.1053,-0.0141,0.0412,0.1053,0.1139
0.983,0.0,0.5883,0.0,0.0,0.5883,0.1053,-0.0041,0.0412,0.1053,0.1131
1.0,-0.5882,0.0,0.0,-0.5882,0.5882,0.0953,-0.0041,0.0412,0.0953,0.1039
1.018,0.0,-0.5556,0.0,0.0,0.5556,0.0953,-0.0141,0.0412,0.0953,0.1048
1.036002,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0412,0.0953,0.1048
1.054001,0.0,0.0,0.5556,0.0,0.5556,0.0953,-0.0141,0.0512,0.0953,0.1091
1.072,-0.5556,0.0,0.0,-0.5556,0.5556,0.0853,-0.0141,0.0512,0.0853,0.1005
1.090001,0.0,0.0,0.0,0.0,0.0,0.0853,-0.0141,0.0512,0.0853,0.1005
1.108001,0.5556,0.0,0.0,0.5556,0.5556,0.0953,-0.0141,0.0512,0.0953,0.1091
1.126001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0512,0.0953,0.1091
1.144,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0512,0.0953,0.1091
1.161999,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0512,0.0953,0.1091
1.179001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0512,0.0953,0.1091
1.197001,0.5556,0.5556,0.0,0.5556,0.7857,0.1053,-0.0041,0.0512,0.1053,0.1171
1.215001,-0.5556,0.0,0.0,-0.5556,0.5556,0.0953,-0.0041,0.0512,0.0953,0.1082
1.233001,0.5556,0.0,-0.5556,0.5556,0.7857,0.1053,-0.0041,0.0412,0.1053,0.1131
1.251001,0.0,0.0,0.0,0.0,0.0,0.1053,-0.0041,0.0412,0.1053,0.1131
1.269001,-0.5556,-0.5556,0.0,-0.5556,0.7857,0.0953,-0.0141,0.0412,0.0953,0.1048
1.287001,0.5556,0.0,0.0,0.5556,0.5556,0.1053,-0.0141,0.0412,0.1053,0.1139
1.305002,-0.5555,0.0,1.111,-0.5555,1.2422,0.0953,-0.0141,0.0612,0.0953,0.1141
1.323001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0612,0.0953,0.1141
1.341001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0141,0.0612,0.0953,0.1141
1.359001,-0.5556,0.5556,-0.5556,-0.5556,0.9623,0.0853,-0.0041,0.0512,0.0853,0.0996
1.376,0.0,0.0,0.0,0.0,0.0,0.0853,-0.0041,0.0512,0.0853,0.0996
1.393,0.0,0.0,0.5882,0.0,0.5882,0.0853,-0.0041,0.0612,0.0853,0.105
1.411,0.0,0.0,0.0,0.0,0.0,0.0853,-0.0041,0.0612,0.0853,0.105
1.429,0.0,0.5556,0.0,0.0,0.5556,0.0853,0.0059,0.0612,0.0853,0.1051
1.447001,0.5555,0.0,0.0,0.5555,0.5555,0.0953,0.0059,0.0612,0.0953,0.1134
1.465001,0.0,-0.5556,0.0,0.0,0.5556,0.0953,-0.0041,0.0612,0.0953,0.1133
1.483001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0041,0.0612,0.0953,0.1133
1.501001,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0041,0.0612,0.0953,0.1133
1.519,0.0,0.0,0.0,0.0,0.0,0.0953,-0.0041,0.0612,0.0953,0.1133
1.536997,0.0,0.0,0.5556,0.0,0.5556,0.0953,-0.0041,0.0712,0.0953,0.119
1.555001,0.0,0.0,-0.5554,0.0,0.5554,0.0953,-0.0041,0.0612,0.0953,0.1133
1.573,0.0,-0.0,0.0,0.0,0.0,0.0953,-0.0041,0.0612,0.0953,0.1133
1.591,0.0,0.0,0.5556,0.0,0.5556,0.0953,-0.0041,0.0712,0.0953,0.119
1.608998,0.0,-0.0,-0.5556,0.0,0.5556,0.0953,-0.0041,0.0612,0.0953,0.1133
1.627002,0.0,0.0,0.5554,0.0,0.5554,0.0953,-0.0041,0.0712,0.0953,0.119
1.644,0.5883,0.0,0.0,0.5883,0.5883,0.1053,-0.0041,0.0712,0.1053,0.1272
1.661001,0.5882,0.0,0.0,0.5882,0.5882,0.1153,-0.0041,0.0712,0.1153,0.1356
1.678997,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0041,0.0712,0.1153,0.1356
1.696997,0.0,0.5556,0.0,0.0,0.5556,0.1153,0.0059,0.0712,0.1153,0.1356
1.715,0.0,-0.0,0.0,0.0,0.0,0.1153,0.0059,0.0712,0.1153,0.1356
1.732999,0.5556,0.0,0.0,0.5556,0.5556,0.1253,0.0059,0.0712,0.1253,0.1442
1.751001,0.0,0.0,0.0,0.0,0.0,0.1253,0.0059,0.0712,0.1253,0.1442
1.768998,0.0,0.0,0.0,0.0,0.0,0.1253,0.0059,0.0712,0.1253,0.1442
1.786,0.5882,-0.5882,0.0,0.5882,0.8318,0.1353,-0.0041,0.0712,0.1353,0.1529
1.803,0.5882,0.0,0.0,0.5882,0.5882,0.1453,-0.0041,0.0712,0.1453,0.1618
1.821001,0.0,0.5555,0.5555,0.0,0.7856,0.1453,0.0059,0.0812,0.1453,0.1665
1.839001,0.0,0.0,0.0,0.0,0.0,0.1453,0.0059,0.0812,0.1453,0.1665
1.857001,0.0,0.0,0.0,0.0,0.0,0.1453,0.0059,0.0812,0.1453,0.1665
1.874,0.5883,-1.1765,0.0,0.5883,1.3154,0.1553,-0.0141,0.0812,0.1553,0.1758
1.890999,-1.1765,0.0,0.0,-1.1765,1.1765,0.1353,-0.0141,0.0812,0.1353,0.1584
1.908002,0.5881,1.1763,0.0,0.5881,1.3151,0.1453,0.0059,0.0812,0.1453,0.1665
1.925998,-0.5557,-0.5557,0.0,-0.5557,0.7858,0.1353,-0.0041,0.0812,0.1353,0.1578
1.944001,0.5555,-0.5555,0.0,0.5555,0.7855,0.1453,-0.0141,0.0812,0.1453,0.167
1.962001,-0.5556,0.0,-0.5556,-0.5556,0.7857,0.1353,-0.0141,0.0712,0.1353,0.1535
1.980001,0.0,0.0,-0.5556,0.0,0.5556,0.1353,-0.0141,0.0612,0.1353,0.1492
1.998,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0141,0.0612,0.1353,0.1492
2.015001,0.0,0.5882,0.5882,0.0,0.8318,0.1353,-0.0041,0.0712,0.1353,0.1529
2.032001,0.0,-0.5882,0.0,0.0,0.5882,0.1353,-0.0141,0.0712,0.1353,0.1535
2.049001,0.0,0.5882,0.0,0.0,0.5882,0.1353,-0.0041,0.0712,0.1353,0.1529
2.067001,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0041,0.0712,0.1353,0.1529
2.085001,0.0,-0.5556,-0.5556,0.0,0.7857,0.1353,-0.0141,0.0612,0.1353,0.1492
2.102001,0.0,0.0,0.5882,0.0,0.5882,0.1353,-0.0141,0.0712,0.1353,0.1535
2.119,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0141,0.0712,0.1353,0.1535
2.136001,-0.5882,0.0,0.0,-0.5882,0.5882,0.1253,-0.0141,0.0712,0.1253,0.1448
2.154001,0.5556,0.0,-0.5556,0.5556,0.7857,0.1353,-0.0141,0.0612,0.1353,0.1492
2.172001,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0141,0.0612,0.1353,0.1492
2.190001,0.0,0.5556,0.0,0.0,0.5556,0.1353,-0.0041,0.0612,0.1353,0.1485
2.207997,-0.5557,-0.0,0.0,-0.5557,0.5557,0.1253,-0.0041,0.0612,0.1253,0.1395
2.226002,0.0,-0.5554,0.5554,0.0,0.7855,0.1253,-0.0141,0.0712,0.1253,0.1448
2.244001,0.5556,0.0,0.0,0.5556,0.5556,0.1353,-0.0141,0.0712,0.1353,0.1535
2.261001,0.0,-0.5882,-0.5882,0.0,0.8319,0.1353,-0.0241,0.0612,0.1353,0.1504
2.279001,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0241,0.0612,0.1353,0.1504
2.297001,-0.5556,1.1111,0.0,-0.5556,1.2423,0.1253,-0.0041,0.0612,0.1253,0.1395
2.314001,0.5882,-0.5882,0.0,0.5882,0.8319,0.1353,-0.0141,0.0612,0.1353,0.1492
2.332001,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0141,0.0612,0.1353,0.1492
2.349002,-0.5882,0.5882,0.5882,-0.5882,1.0188,0.1253,-0.0041,0.0712,0.1253,0.1442
2.366997,0.0,0.0,0.0,0.0,0.0,0.1253,-0.0041,0.0712,0.1253,0.1442
2.384998,0.0,-0.5555,0.0,0.0,0.5555,0.1253,-0.0141,0.0712,0.1253,0.1448
2.403,0.0,0.0,0.0,0.0,0.0,0.1253,-0.0141,0.0712,0.1253,0.1448
2.421,0.0,0.0,0.0,0.0,0.0,0.1253,-0.0141,0.0712,0.1253,0.1448
2.439,-0.5556,0.0,-0.5556,-0.5556,0.7857,0.1153,-0.0141,0.0612,0.1153,0.1313
2.456001,-0.5882,0.0,0.0,-0.5882,0.5882,0.1053,-0.0141,0.0612,0.1053,0.1226
2.474001,0.5556,0.5556,0.0,0.5556,0.7857,0.1153,-0.0041,0.0612,0.1153,0.1306
2.491998,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0041,0.0612,0.1153,0.1306
2.509998,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0041,0.0612,0.1153,0.1306
2.528001,0.0,0.0,0.5555,0.0,0.5555,0.1153,-0.0041,0.0712,0.1153,0.1356
2.545998,0.5556,0.0,0.0,0.5556,0.5556,0.1253,-0.0041,0.0712,0.1253,0.1442
2.563997,0.0,0.0,0.0,0.0,0.0,0.1253,-0.0041,0.0712,0.1253,0.1442
2.582001,0.0,0.0,-0.5554,0.0,0.5554,0.1253,-0.0041,0.0612,0.1253,0.1395
2.600001,0.5556,-0.5556,0.0,0.5556,0.7857,0.1353,-0.0141,0.0612,0.1353,0.1492
2.617998,0.0,-0.5556,0.0,0.0,0.5556,0.1353,-0.0241,0.0612,0.1353,0.1504
2.636001,0.0,0.5555,0.0,0.0,0.5555,0.1353,-0.0141,0.0612,0.1353,0.1492
2.654002,0.0,0.0,0.0,0.0,0.0,0.1353,-0.0141,0.0612,0.1353,0.1492
2.671001,0.0,0.5883,-0.5883,0.0,0.8319,0.1353,-0.0041,0.0512,0.1353,0.1447
2.689,0.0,-1.1112,0.0,0.0,1.1112,0.1353,-0.0241,0.0512,0.1353,0.1466
2.707,-0.5556,0.0,0.0,-0.5556,0.5556,0.1253,-0.0241,0.0512,0.1253,0.1375
2.724997,0.0,0.0,0.5556,0.0,0.5556,0.1253,-0.0241,0.0612,0.1253,0.1415
2.743001,-0.0,-0.5554,0.0,-0.0,0.5554,0.1253,-0.0341,0.0612,0.1253,0.1435
2.761001,-0.5556,0.0,0.0,-0.5556,0.5556,0.1153,-0.0341,0.0612,0.1153,0.1349
2.779,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0341,0.0612,0.1153,0.1349
2.797001,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0341,0.0612,0.1153,0.1349
2.814997,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0341,0.0612,0.1153,0.1349
2.833001,0.0,-0.5554,0.0,0.0,0.5554,0.1153,-0.0441,0.0612,0.1153,0.1378
2.851001,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0441,0.0612,0.1153,0.1378
2.869,0.0,0.5556,0.0,0.0,0.5556,0.1153,-0.0341,0.0612,0.1153,0.1349
2.887001,-0.5555,-0.5555,0.0,-0.5555,0.7856,0.1053,-0.0441,0.0612,0.1053,0.1295
2.903997,0.5884,0.5884,0.0,0.5884,0.8321,0.1153,-0.0341,0.0612,0.1153,0.1349
2.921,0.0,0.0,0.0,0.0,0.0,0.1153,-0.0341,0.0612,0.1153,0.1349
