time_s,rel_rate_x,rel_rate_y,rel_rate_z,rel_rate_dominant,rel_rate_magnitude,rel_angle_x,rel_angle_y,rel_angle_z,rel_angle_dominant,rel_angle_magnitude
0.0,0.0,0.5881,0.0,0.0,0.5881,0.015,-0.0328,-0.0111,-0.0111,0.0377
0.017004,0.0,0.5881,0.0,0.0,0.5881,0.015,-0.0228,-0.0111,-0.0111,0.0294
0.033999,0.0,0.0,0.5884,0.5884,0.5884,0.015,-0.0228,-0.0011,-0.0011,0.0273
0.051003,-0.5881,0.5881,-0.5881,-0.5881,1.0186,0.005,-0.0128,-0.0111,-0.0111,0.0177
0.068002,0.0,0.0,0.5883,0.5883,0.5883,0.005,-0.0128,-0.0011,-0.0011,0.0138
0.085003,0.0,0.0,0.0,0.0,0.0,0.005,-0.0128,-0.0011,-0.0011,0.0138
0.102,0.0,0.5883,0.0,0.0,0.5883,0.005,-0.0028,-0.0011,-0.0011,0.0058
0.119003,0.0,0.0,0.0,0.0,0.0,0.005,-0.0028,-0.0011,-0.0011,0.0058
0.136003,0.0,-0.0,0.0,0.0,0.0,0.005,-0.0028,-0.0011,-0.0011,0.0058
0.153,-0.5883,0.0,-0.0,-0.0,0.5883,-0.005,-0.0028,-0.0011,-0.0011,0.0058
0.170004,0.0,0.5881,0.0,0.0,0.5881,-0.005,0.0072,-0.0011,-0.0011,0.0089
0.187001,0.0,0.0,0.5883,0.5883,0.5883,-0.005,0.0072,0.0089,0.0089,0.0125
0.204,0.0,0.5883,-0.5883,-0.5883,0.8319,-0.005,0.0172,-0.0011,-0.0011,0.018
0.221,0.0,-0.5882,0.5882,0.5882,0.8319,-0.005,0.0072,0.0089,0.0089,0.0125
0.238002,0.0,0.5882,0.0,0.0,0.5882,-0.005,0.0172,0.0089,0.0089,0.02
0.255001,-0.5883,0.0,-0.5883,-0.5883,0.8319,-0.015,0.0172,-0.0011,-0.0011,0.0229
0.272,0.0,0.5883,0.5883,0.5883,0.8319,-0.015,0.0272,0.0089,0.0089,0.0323
0.289001,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.0089,0.0089,0.0323
0.306002,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.0089,0.0089,0.0323
0.323002,0.0,0.0,0.0,0.0,0.0,-0.015,0.0272,0.0089,0.0089,0.0323
0.340002,0.0,0.5882,0.5882,0.5882,0.8319,-0.015,0.0372,0.0189,0.0189,0.0444
0.357003,0.0,0.0,-0.5882,-0.5882,0.5882,-0.015,0.0372,0.0089,0.0089,0.0411
0.374001,0.0,0.0,0.0,0.0,0.0,-0.015,0.0372,0.0089,0.0089,0.0411
0.391002,-0.5882,0.5882,0.5882,0.5882,1.0188,-0.025,0.0472,0.0189,0.0189,0.0567
0.408,0.0,-0.5883,-0.5883,-0.5883,0.832,-0.025,0.0372,0.0089,0.0089,0.0457
0.425001,0.0,0.5882,0.5882,0.5882,0.8318,-0.025,0.0472,0.0189,0.0189,0.0567
0.442003,0.0,0.0,0.0,0.0,0.0,-0.025,0.0472,0.0189,0.0189,0.0567
0.459003,0.0,0.0,0.5882,0.5882,0.5882,-0.025,0.0472,0.0289,0.0289,0.0607
0.476054,0.0,0.5865,-0.5865,-0.5865,0.8294,-0.025,0.0572,0.0189,0.0189,0.0652
0.493002,0.0,0.0,0.0,0.0,0.0,-0.025,0.0572,0.0189,0.0189,0.0652
0.510002,0.0,-0.5882,0.5882,0.5882,0.8319,-0.025,0.0472,0.0289,0.0289,0.0607
0.527,-0.5883,0.5883,-0.5883,-0.5883,1.019,-0.035,0.0572,0.0189,0.0189,0.0697
0.544002,0.0,0.0,0.5882,0.5882,0.5882,-0.035,0.0572,0.0289,0.0289,0.073
0.561,0.0,0.0,0.0,0.0,0.0,-0.035,0.0572,0.0289,0.0289,0.073
0.578,0.0,0.5882,0.0,0.0,0.5882,-0.035,0.0672,0.0289,0.0289,0.0811
0.595003,0.0,0.0,0.0,0.0,0.0,-0.035,0.0672,0.0289,0.0289,0.0811
0.612001,0.0,0.0,0.0,0.0,0.0,-0.035,0.0672,0.0289,0.0289,0.0811
0.629,0.0,0.5883,0.0,0.0,0.5883,-0.035,0.0772,0.0289,0.0289,0.0896
0.646,0.0,-0.5882,0.0,0.0,0.5882,-0.035,0.0672,0.0289,0.0289,0.0811
0.663003,0.0,0.0,0.5881,0.5881,0.5881,-0.035,0.0672,0.0389,0.0389,0.0852
0.68,0.0,0.5883,-0.5883,-0.5883,0.832,-0.035,0.0772,0.0289,0.0289,0.0896
0.697002,-0.5882,0.0,0.5882,0.5882,0.8318,-0.045,0.0772,0.0389,0.0389,0.0975
0.714036,0.0,0.0,0.0,0.0,0.0,-0.045,0.0772,0.0389,0.0389,0.0975
0.730994,0.0,0.0,-0.5897,-0.5897,0.5897,-0.045,0.0772,0.0289,0.0289,0.0939
0.747995,0.0,0.5882,0.5882,0.5882,0.8318,-0.045,0.0872,0.0389,0.0389,0.1056
0.764996,0.0,0.0,0.0,0.0,0.0,-0.045,0.0872,0.0389,0.0389,0.1056
0.781997,0.0,0.0,0.0,0.0,0.0,-0.045,0.0872,0.0389,0.0389,0.1056
0.798996,0.0,-0.5883,0.0,0.0,0.5883,-0.045,0.0772,0.0389,0.0389,0.0975
0.815996,0.0,0.5882,0.5882,0.5882,0.8319,-0.045,0.0872,0.0489,0.0489,0.1096
0.833051,0.0,0.0,-0.5863,-0.5863,0.5863,-0.045,0.0872,0.0389,0.0389,0.1056
0.849995,0.0,0.0,0.0,0.0,0.0,-0.045,0.0872,0.0389,0.0389,0.1056
0.866997,0.5882,0.0,0.5882,0.5882,0.8318,-0.035,0.0872,0.0489,0.0489,0.1059
0.883995,0.0,0.5883,0.0,0.0,0.5883,-0.035,0.0972,0.0489,0.0489,0.1143
0.900994,0.0,0.0,0.0,0.0,0.0,-0.035,0.0972,0.0489,0.0489,0.1143
0.917996,-0.5882,0.0,0.0,0.0,0.5882,-0.045,0.0972,0.0489,0.0489,0.1178
0.934994,0.0,0.0,0.5883,0.5883,0.5883,-0.045,0.0972,0.0589,0.0589,0.1222
0.951996,0.0,0.0,-0.5882,-0.5882,0.5882,-0.045,0.0972,0.0489,0.0489,0.1178
0.968994,0.0,0.5883,0.0,0.0,0.5883,-0.045,0.1072,0.0489,0.0489,0.1261
0.986051,0.0,-0.5863,0.5863,0.5863,0.8291,-0.045,0.0972,0.0589,0.0589,0.1222
1.002994,0.0,0.0,-0.5902,-0.5902,0.5902,-0.045,0.0972,0.0489,0.0489,0.1178
1.019996,0.0,0.0,0.5882,0.5882,0.5882,-0.045,0.0972,0.0589,0.0589,0.1222
1.036995,0.0,0.0,0.0,0.0,0.0,-0.045,0.0972,0.0589,0.0589,0.1222
1.053993,0.0,0.5883,-0.0,-0.0,0.5883,-0.045,0.1072,0.0589,0.0589,0.1303
1.070995,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.0589,0.0589,0.1303
1.087996,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.0589,0.0589,0.1303
1.104995,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.0589,0.0589,0.1303
1.121996,0.0,0.0,0.0,0.0,0.0,-0.045,0.1072,0.0589,0.0589,0.1303
1.138996,0.0,0.0,0.5882,0.5882,0.5882,-0.045,0.1072,0.0689,0.0689,0.1352
1.155996,0.0,0.5882,-0.5882,-0.5882,0.8319,-0.045,0.1172,0.0589,0.0589,0.1387
1.172997,0.0,0.0,0.5882,0.5882,0.5882,-0.045,0.1172,0.0689,0.0689,0.1432
1.189997,0.0,0.0,0.0,0.0,0.0,-0.045,0.1172,0.0689,0.0689,0.1432
1.206996,0.0,0.0,-0.5883,-0.5883,0.5883,-0.045,0.1172,0.0589,0.0589,0.1387
1.224045,-0.5865,-0.5865,0.5865,0.5865,1.0159,-0.055,0.1072,0.0689,0.0689,0.1388
1.240997,0.0,0.0,0.0,0.0,0.0,-0.055,0.1072,0.0689,0.0689,0.1388
1.257995,0.0,0.5883,0.5883,0.5883,0.832,-0.055,0.1172,0.0789,0.0789,0.1516
1.274997,0.0,0.0,-0.5882,-0.5882,0.5882,-0.055,0.1172,0.0689,0.0689,0.1467
1.291995,0.0,0.0,0.5883,0.5883,0.5883,-0.055,0.1172,0.0789,0.0789,0.1516
1.308995,0.0,0.0,0.0,0.0,0.0,-0.055,0.1172,0.0789,0.0789,0.1516
1.325995,0.0,0.0,-0.5882,-0.5882,0.5882,-0.055,0.1172,0.0689,0.0689,0.1467
1.343046,0.0,0.0,0.5865,0.5865,0.5865,-0.055,0.1172,0.0789,0.0789,0.1516
1.359995,0.0,0.0,0.0,0.0,0.0,-0.055,0.1172,0.0789,0.0789,0.1516
1.376995,0.0,0.0,0.0,0.0,0.0,-0.055,0.1172,0.0789,0.0789,0.1516
1.393994,0.0,0.5883,0.0,0.0,0.5883,-0.055,0.1272,0.0789,0.0789,0.1595
1.410997,0.0,0.0,0.5881,0.5881,0.5881,-0.055,0.1272,0.0889,0.0889,0.1647
1.427996,0.0,0.0,-0.5883,-0.5883,0.5883,-0.055,0.1272,0.0789,0.0789,0.1595
1.444997,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0789,0.0789,0.1595
1.461996,0.0,0.0,0.5883,0.5883,0.5883,-0.055,0.1272,0.0889,0.0889,0.1647
1.478994,0.0,0.0,-0.5883,-0.5883,0.5883,-0.055,0.1272,0.0789,0.0789,0.1595
1.496046,0.0,0.0,0.5864,0.5864,0.5864,-0.055,0.1272,0.0889,0.0889,0.1647
1.512995,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0889,0.0889,0.1647
1.529995,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0889,0.0889,0.1647
1.546996,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0889,0.0889,0.1647
1.563993,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0889,0.0889,0.1647
1.580997,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0889,0.0889,0.1647
1.597994,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0889,0.0889,0.1647
1.614996,0.0,0.0,0.5882,0.5882,0.5882,-0.055,0.1272,0.0989,0.0989,0.1703
1.631995,0.0,0.0,-0.5883,-0.5883,0.5883,-0.055,0.1272,0.0889,0.0889,0.1647
1.648995,0.0,0.0,0.5882,0.5882,0.5882,-0.055,0.1272,0.0989,0.0989,0.1703
1.665994,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0989,0.0989,0.1703
1.682995,0.0,0.0,0.0,0.0,0.0,-0.055,0.1272,0.0989,0.0989,0.1703
1.699995,-0.5882,0.0,0.0,0.0,0.5882,-0.065,0.1272,0.0989,0.0989,0.1738
1.716993,0.0,0.0,0.0,0.0,0.0,-0.065,0.1272,0.0989,0.0989,0.1738
1.734046,0.0,0.5864,0.5864,0.5864,0.8293,-0.065,0.1372,0.1089,0.1089,0.1868
1.750995,0.0,0.0,-0.59,-0.59,0.59,-0.065,0.1372,0.0989,0.0989,0.1812
1.767994,0.0,0.0,0.5883,0.5883,0.5883,-0.065,0.1372,0.1089,0.1089,0.1868
1.784997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1089,0.1089,0.1868
1.801994,0.0,0.0,-0.5883,-0.5883,0.5883,-0.065,0.1372,0.0989,0.0989,0.1812
1.818994,0.0,0.0,0.5882,0.5882,0.5882,-0.065,0.1372,0.1089,0.1089,0.1868
1.835996,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1089,0.1089,0.1868
1.853047,0.0,0.0,-0.0,-0.0,0.0,-0.065,0.1372,0.1089,0.1089,0.1868
1.869997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1089,0.1089,0.1868
1.887045,0.0,0.0,0.5866,0.5866,0.5866,-0.065,0.1372,0.1189,0.1189,0.1928
1.903993,0.0,0.0,-0.59,-0.59,0.59,-0.065,0.1372,0.1089,0.1089,0.1868
1.920993,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1089,0.1089,0.1868
1.937996,0.0,0.0,0.5881,0.5881,0.5881,-0.065,0.1372,0.1189,0.1189,0.1928
1.954995,0.0,0.0,-0.5883,-0.5883,0.5883,-0.065,0.1372,0.1089,0.1089,0.1868
1.971994,0.0,0.5883,0.5883,0.5883,0.8319,-0.065,0.1472,0.1189,0.1189,0.2001
1.988997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1189,0.1189,0.2001
2.006047,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1189,0.1189,0.2001
2.022997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1189,0.1189,0.2001
2.039993,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1189,0.1189,0.2001
2.056996,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1189,0.1189,0.2001
2.073994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1189,0.1189,0.2001
2.090996,0.0,-0.5882,0.5882,0.5882,0.8318,-0.065,0.1372,0.1289,0.1289,0.1992
2.107995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1289,0.1289,0.1992
2.124995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1289,0.1289,0.1992
2.141994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1289,0.1289,0.1992
2.158996,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1289,0.1289,0.1992
2.175995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1289,0.1289,0.1992
2.192994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1289,0.1289,0.1992
2.209993,0.0,0.0,0.5883,0.5883,0.5883,-0.065,0.1372,0.1389,0.1389,0.2058
2.226997,0.0,0.0,-0.5881,-0.5881,0.5881,-0.065,0.1372,0.1289,0.1289,0.1992
2.244049,0.0,0.0,0.5864,0.5864,0.5864,-0.065,0.1372,0.1389,0.1389,0.2058
2.260996,0.0,0.0,0.0,0.0,0.0,-0.065,0.1372,0.1389,0.1389,0.2058
2.277995,0.0,0.0,-0.5883,-0.5883,0.5883,-0.065,0.1372,0.1289,0.1289,0.1992
2.294995,0.0,0.5882,0.5882,0.5882,0.8319,-0.065,0.1472,0.1389,0.1389,0.2126
2.311996,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1389,0.1389,0.2126
2.328995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1389,0.1389,0.2126
2.345993,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1389,0.1389,0.2126
2.363045,0.0,0.0,0.5864,0.5864,0.5864,-0.065,0.1472,0.1489,0.1489,0.2192
2.379995,0.0,0.0,-0.59,-0.59,0.59,-0.065,0.1472,0.1389,0.1389,0.2126
2.396994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1389,0.1389,0.2126
2.413993,0.0,0.0,0.5883,0.5883,0.5883,-0.065,0.1472,0.1489,0.1489,0.2192
2.430995,0.0,0.0,-0.5882,-0.5882,0.5882,-0.065,0.1472,0.1389,0.1389,0.2126
2.447994,0.0,0.0,0.5883,0.5883,0.5883,-0.065,0.1472,0.1489,0.1489,0.2192
2.464995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1489,0.1489,0.2192
2.481997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1489,0.1489,0.2192
2.498995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1489,0.1489,0.2192
2.516047,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1489,0.1489,0.2192
2.532995,0.0,0.0,0.59,0.59,0.59,-0.065,0.1472,0.1589,0.1589,0.2262
2.549994,0.0,0.0,-0.5883,-0.5883,0.5883,-0.065,0.1472,0.1489,0.1489,0.2192
2.566994,0.0,0.0,0.5882,0.5882,0.5882,-0.065,0.1472,0.1589,0.1589,0.2262
2.583994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1589,0.1589,0.2262
2.600994,0.0,0.0,-0.0,-0.0,0.0,-0.065,0.1472,0.1589,0.1589,0.2262
2.617994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1589,0.1589,0.2262
2.634997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1589,0.1589,0.2262
2.651993,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1589,0.1589,0.2262
2.669045,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1589,0.1589,0.2262
2.685993,0.0,0.0,0.59,0.59,0.59,-0.065,0.1472,0.1689,0.1689,0.2333
2.702997,0.0,0.0,-0.5881,-0.5881,0.5881,-0.065,0.1472,0.1589,0.1589,0.2262
2.719996,0.0,0.0,0.5883,0.5883,0.5883,-0.065,0.1472,0.1689,0.1689,0.2333
2.736995,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1689,0.1689,0.2333
2.754045,0.0,0.0,-0.5865,-0.5865,0.5865,-0.065,0.1472,0.1589,0.1589,0.2262
2.770995,0.0,0.0,0.59,0.59,0.59,-0.065,0.1472,0.1689,0.1689,0.2333
2.787997,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1689,0.1689,0.2333
2.804997,0.0,0.0,-0.0,-0.0,0.0,-0.065,0.1472,0.1689,0.1689,0.2333
2.821994,0.0,0.0,0.0,0.0,0.0,-0.065,0.1472,0.1689,0.1689,0.2333
2.838996,0.0,0.5882,0.5882,0.5882,0.8318,-0.065,0.1572,0.1789,0.1789,0.2469
2.855994,0.0,0.0,-0.5883,-0.5883,0.5883,-0.065,0.1572,0.1689,0.1689,0.2397
2.873026,0.0,0.0,0.0,0.0,0.0,-0.065,0.1572,0.1689,0.1689,0.2397
2.889994,0.0,0.0,0.5893,0.5893,0.5893,-0.065,0.1572,0.1789,0.1789,0.2469
2.906996,-0.5882,0.0,-0.5882,-0.5882,0.8318,-0.075,0.1572,0.1689,0.1689,0.2426
2.923996,0.0,0.0,0.5882,0.5882,0.5882,-0.075,0.1572,0.1789,0.1789,0.2497
2.940993,0.0,0.0,0.0,0.0,0.0,-0.075,0.1572,0.1789,0.1789,0.2497
2.957994,0.0,0.0,0.5882,0.5882,0.5882,-0.075,0.1572,0.1889,0.1889,0.2569
2.974995,0.0,0.0,-0.5882,-0.5882,0.5882,-0.075,0.1572,0.1789,0.1789,0.2497
2.991994,0.0,0.0,0.0,0.0,0.0,-0.075,0.1572,0.1789,0.1789,0.2497
