arduino_time_s,receive_time_s,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gx,imu1_gy,imu1_gz,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gx,imu2_gy,imu2_gz
0.0,1764971602.617721,0.056,0.013,1.036,1.0,-3.26,-11.46,0.021,0.043,1.01,2.48,-1.58,-11.61
0.017999,1764971602.618678,0.058,0.022,1.041,1.0,-3.25,-11.46,0.029,0.057,1.012,2.45,-1.59,-11.61
0.034999,1764971602.6195211,0.055,0.023,1.017,1.01,-3.24,-11.46,0.022,0.051,1.004,2.43,-1.58,-11.61
0.053,1764971602.620157,0.054,0.006,1.014,1.0,-3.23,-11.46,0.02,0.04,1.007,2.39,-1.58,-11.6
0.071,1764971602.620638,0.063,0.015,1.007,1.0,-3.23,-11.46,0.029,0.043,1.007,2.4,-1.58,-11.6
0.089,1764971602.621206,0.062,0.029,1.005,1.01,-3.22,-11.46,0.029,0.049,1.0,2.41,-1.59,-11.6
0.107,1764971602.6217449,0.051,0.017,1.0,1.0,-3.21,-11.46,0.021,0.045,1.001,2.41,-1.58,-11.6
0.125,1764971602.622407,0.057,0.009,0.997,0.99,-3.22,-11.46,0.024,0.039,0.996,2.43,-1.58,-11.6
0.142999,1764971602.623308,0.063,0.02,1.003,1.0,-3.22,-11.46,0.03,0.048,0.993,2.45,-1.58,-11.6
0.161,1764971602.6237519,0.06,0.02,0.999,1.0,-3.23,-11.46,0.031,0.049,0.986,2.46,-1.59,-11.6
0.179006,1764971602.624154,0.052,0.018,1.004,0.99,-3.22,-11.46,0.023,0.04,0.997,2.45,-1.58,-11.6
0.196999,1764971602.624562,0.056,0.013,1.002,0.99,-3.22,-11.46,0.024,0.043,0.991,2.46,-1.57,-11.6
0.214996,1764971602.624973,0.062,0.023,1.006,1.0,-3.23,-11.46,0.034,0.047,0.991,2.46,-1.58,-11.6
0.233,1764971602.625386,0.057,0.017,1.006,1.0,-3.23,-11.46,0.025,0.046,0.99,2.46,-1.58,-11.6
0.251,1764971602.625791,0.05,0.018,1.006,1.0,-3.22,-11.46,0.024,0.037,0.995,2.46,-1.58,-11.6
0.269,1764971602.6261609,0.057,0.016,1.005,0.99,-3.22,-11.46,0.027,0.046,0.998,2.47,-1.58,-11.6
0.285996,1764971602.626525,0.062,0.022,1.007,1.0,-3.22,-11.46,0.03,0.048,1.0,2.47,-1.58,-11.6
0.302999,1764971602.626883,0.058,0.017,1.005,1.0,-3.22,-11.46,0.026,0.036,0.994,2.48,-1.58,-11.6
