time_s,accel_x,accel_y,accel_z,angle_x,angle_y,angle_z
0.0,0.112,-0.644,0.419,-58.71,-3.25,-467.46
0.012167,0.164,-0.559,0.389,-58.59,-3.43,-467.47
0.024363,0.163,-0.571,0.387,-58.55,-3.43,-467.49
0.036578,0.140,-0.609,0.409,-58.57,-3.31,-467.50
0.048778,0.112,-0.649,0.430,-58.58,-3.21,-467.50
0.06096,0.099,-0.690,0.444,-58.58,-3.18,-467.50
0.07315,0.078,-0.732,0.452,-58.61,-3.11,-467.50
0.085329,0.063,-0.758,0.464,-58.66,-3.03,-467.50
0.097517,0.047,-0.779,0.470,-58.70,-2.96,-467.49
0.109764,0.056,-0.769,0.458,-58.76,-2.94,-467.49
0.121937,0.045,-0.778,0.466,-58.77,-2.94,-467.49
0.134115,0.045,-0.776,0.472,-58.76,-2.94,-467.49
0.146311,0.039,-0.787,0.467,-58.79,-2.90,-467.49
0.15852,0.039,-0.784,0.469,-58.81,-2.88,-467.49
0.170767,0.044,-0.772,0.469,-58.78,-2.89,-467.49
0.182952,0.046,-0.778,0.466,-58.80,-2.89,-467.49
0.195129,0.045,-0.780,0.461,-58.82,-2.89,-467.49
0.207323,0.046,-0.770,0.468,-58.83,-2.89,-467.49
0.219513,0.039,-0.779,0.465,-58.85,-2.88,-467.49
0.231688,0.049,-0.771,0.464,-58.85,-2.88,-467.49
0.24386,0.046,-0.770,0.465,-58.84,-2.88,-467.49
0.256019,0.046,-0.773,0.464,-58.86,-2.89,-467.49
0.26822,0.047,-0.773,0.464,-58.86,-2.89,-467.49
0.2804,0.041,-0.766,0.467,-58.84,-2.90,-467.49
0.292631,0.038,-0.777,0.462,-58.85,-2.89,-467.49
0.304869,0.044,-0.772,0.460,-58.87,-2.88,-467.49
0.317025,0.045,-0.768,0.458,-58.88,-2.87,-467.49
0.329232,0.048,-0.769,0.460,-58.89,-2.87,-467.49
0.34142,0.044,-0.778,0.464,-58.88,-2.86,-467.49
0.35364,0.046,-0.770,0.468,-58.86,-2.88,-467.50
0.365835,0.049,-0.773,0.465,-58.86,-2.90,-467.50
0.378027,0.046,-0.770,0.463,-58.86,-2.89,-467.50
0.390182,0.048,-0.767,0.464,-58.84,-2.89,-467.50
0.402375,0.050,-0.765,0.463,-58.85,-2.89,-467.50
0.41459,0.045,-0.774,0.464,-58.88,-2.88,-467.50
0.426826,0.047,-0.769,0.466,-58.87,-2.89,-467.50
0.439,0.043,-0.769,0.463,-58.88,-2.88,-467.50
0.451195,0.043,-0.777,0.459,-58.92,-2.87,-467.50
0.463395,0.043,-0.764,0.462,-58.90,-2.86,-467.51
0.475577,0.045,-0.770,0.461,-58.90,-2.87,-467.51
0.487732,0.044,-0.776,0.462,-58.92,-2.86,-467.51
0.499909,0.045,-0.766,0.463,-58.90,-2.87,-467.51
0.512079,0.047,-0.771,0.468,-58.89,-2.86,-467.51
0.524271,0.044,-0.771,0.461,-58.92,-2.85,-467.51
0.536459,0.044,-0.766,0.461,-58.89,-2.85,-467.51
0.54868,0.046,-0.768,0.460,-58.89,-2.85,-467.51
0.56085,0.048,-0.779,0.459,-58.92,-2.83,-467.51
0.573029,0.049,-0.765,0.468,-58.89,-2.84,-467.51
0.585198,0.044,-0.775,0.463,-58.90,-2.84,-467.51
0.597378,0.047,-0.774,0.461,-58.92,-2.84,-467.51
0.609537,0.048,-0.773,0.459,-58.92,-2.86,-467.52
0.621752,0.041,-0.771,0.466,-58.91,-2.86,-467.52
0.633932,0.042,-0.774,0.462,-58.92,-2.85,-467.52
0.646089,0.046,-0.766,0.465,-58.89,-2.86,-467.52
0.658305,0.047,-0.775,0.457,-58.92,-2.86,-467.52
0.670514,0.047,-0.767,0.465,-58.92,-2.86,-467.52
0.682783,0.048,-0.771,0.463,-58.91,-2.85,-467.52
