arduino_time_s,receive_time_s,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gx,imu1_gy,imu1_gz,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gx,imu2_gy,imu2_gz
0.0,1765055775.4637818,0.553,-0.372,0.243,-30.05,-56.27,-55.94,-0.172,-0.25,0.039,-54.53,32.18,-36.14
0.017004,1765055775.465423,0.553,-0.372,0.243,-30.05,-56.28,-55.94,-0.172,-0.25,0.039,-54.53,32.18,-36.14
0.033999,1765055775.491503,0.553,-0.372,0.243,-30.05,-56.28,-55.95,-0.172,-0.25,0.039,-54.53,32.18,-36.14
0.051003,1765055775.524087,0.553,-0.372,0.243,-30.04,-56.29,-55.95,-0.172,-0.25,0.039,-54.53,32.18,-36.15
0.068002,1765055775.52562,0.553,-0.372,0.243,-30.04,-56.3,-55.96,-0.172,-0.25,0.039,-54.53,32.17,-36.15
0.085003,1765055775.581825,0.553,-0.372,0.243,-30.04,-56.3,-55.96,-0.172,-0.25,0.039,-54.53,32.17,-36.15
0.102,1765055775.583245,0.553,-0.372,0.243,-30.04,-56.31,-55.97,-0.172,-0.25,0.039,-54.53,32.17,-36.16
0.119003,1765055775.586101,0.553,-0.372,0.243,-30.04,-56.31,-55.97,-0.172,-0.25,0.039,-54.53,32.17,-36.16
0.136003,1765055775.612504,0.553,-0.372,0.243,-30.04,-56.32,-55.97,-0.172,-0.25,0.039,-54.53,32.16,-36.16
0.153,1765055775.6135879,0.553,-0.372,0.243,-30.03,-56.32,-55.98,-0.172,-0.25,0.039,-54.53,32.16,-36.17
0.170004,1765055775.646039,0.553,-0.372,0.243,-30.03,-56.33,-55.98,-0.172,-0.25,0.039,-54.53,32.16,-36.17
0.187001,1765055775.64637,0.553,-0.372,0.243,-30.03,-56.33,-55.99,-0.172,-0.25,0.039,-54.53,32.16,-36.17
0.204,1765055775.6730182,0.553,-0.372,0.243,-30.03,-56.34,-55.99,-0.172,-0.25,0.039,-54.53,32.16,-36.18
0.221,1765055775.6764228,0.553,-0.372,0.243,-30.03,-56.34,-56.0,-0.172,-0.25,0.039,-54.53,32.15,-36.18
0.238002,1765055775.73317,0.553,-0.372,0.243,-30.03,-56.35,-56.0,-0.172,-0.25,0.039,-54.53,32.15,-36.18
